time_stamp,data_value
1686646102.482750,2.083333
1686646102.492907,2.083333
1686646102.502877,1.388889
1686646102.512710,1.388889
1686646102.522580,1.388889
1686646102.532735,1.388889
1686646102.542583,1.388889
1686646102.552794,0.694444
1686646102.563273,1.388889
1686646102.572671,0.694444
1686646102.582582,0.694444
1686646102.592714,0.694444
1686646102.602585,0.694444
1686646102.612834,0.694444
1686646102.622575,0.694444
1686646102.632722,0.694444
1686646102.642915,0.694444
1686646102.652715,0.694444
1686646102.663173,0.694444
1686646102.672662,0.000000
1686646102.682826,0.694444
1686646102.692937,0.694444
1686646102.702591,0.694444
1686646102.714131,0.000000
1686646102.722603,0.000000
1686646102.732763,0.694444
1686646102.742594,0.694444
1686646102.753102,0.694444
1686646102.763252,0.000000
1686646102.772625,0.694444
1686646102.773566,0.694444
1686646102.783139,0.694444
1686646102.792589,0.694444
1686646102.802596,0.694444
1686646102.812729,0.694444
1686646102.822642,0.694444
1686646102.832753,0.000000
1686646102.842611,0.000000
1686646102.853309,0.000000
1686646102.853322,0.000000
1686646102.862713,0.000000
1686646102.872759,0.000000
1686646102.882752,0.000000
1686646102.892882,0.000000
1686646102.902802,0.000000
1686646102.913651,0.000000
1686646102.922926,0.000000
1686646102.932665,0.000000
1686646102.942640,0.000000
1686646102.953071,0.000000
1686646102.962710,0.000000
1686646102.972772,0.000000
1686646102.982632,0.000000
1686646102.992773,0.000000
1686646103.002604,0.000000
1686646103.013116,0.000000
1686646103.022605,0.000000
1686646103.032738,0.000000
1686646103.042637,0.000000
1686646103.052755,0.694444
1686646103.062762,0.694444
1686646103.072892,0.694444
1686646103.082763,0.000000
1686646103.092886,0.694444
1686646103.103065,0.694444
1686646103.113193,0.694444
1686646103.123080,0.694444
1686646103.132551,0.694444
1686646103.143133,0.694444
1686646103.153228,1.388889
1686646103.163530,1.388889
1686646103.172660,1.388889
1686646103.183090,1.388889
1686646103.192789,1.388889
1686646103.203086,1.388889
1686646103.213262,2.083333
1686646103.223124,2.083333
1686646103.232559,2.083333
1686646103.243114,2.083333
1686646103.252825,2.083333
1686646103.263130,2.083333
1686646103.273330,2.083333
1686646103.282835,2.777778
1686646103.292967,2.777778
1686646103.303197,2.777778
1686646103.313329,2.777778
1686646103.323277,2.777778
1686646103.333420,2.777778
1686646103.343151,2.777778
1686646103.353484,3.472222
1686646103.363422,3.472222
1686646103.373653,3.472222
1686646103.382633,3.472222
1686646103.392766,3.472222
1686646103.403650,3.472222
1686646103.403662,3.472222
1686646103.412785,4.166667
1686646103.422667,4.166667
1686646103.432808,4.861111
1686646103.442659,4.166667
1686646103.453787,4.166667
1686646103.463176,4.861111
1686646103.472631,4.166667
1686646103.482806,4.861111
1686646103.492949,4.861111
1686646103.503652,4.861111
1686646103.512810,4.861111
1686646103.522767,4.861111
1686646103.532784,4.861111
1686646103.543668,4.861111
1686646103.552792,5.555555
1686646103.563411,5.555555
1686646103.572644,5.555555
1686646103.582678,5.555555
1686646103.592874,5.555555
1686646103.602669,5.555555
1686646103.612827,6.250000
1686646103.623536,6.250000
1686646103.633672,6.250000
1686646103.643670,6.250000
1686646103.653808,6.250000
1686646103.664274,6.944445
1686646103.673895,6.944445
1686646103.682837,6.944445
1686646103.692942,6.944445
1686646103.702663,6.944445
1686646103.712803,6.944445
1686646103.722668,7.638889
1686646103.732800,7.638889
1686646103.742664,7.638889
1686646103.752794,8.333333
1686646103.763309,8.333333
1686646103.772642,8.333333
1686646103.783438,8.333333
1686646103.792666,9.027778
1686646103.802663,9.027778
1686646103.812792,9.027778
1686646103.822667,9.027778
1686646103.832831,9.722222
1686646103.842668,9.722222
1686646103.852831,9.722222
1686646103.863339,9.722222
1686646103.872665,10.416667
1686646103.882816,11.111111
1686646103.892934,11.111111
1686646103.903348,11.111111
1686646103.913692,10.416667
1686646103.922676,11.111111
1686646103.932945,11.805555
1686646103.943692,11.805555
1686646103.952801,11.805555
1686646103.963345,11.805555
1686646103.972729,12.500000
1686646103.982677,13.194445
1686646103.992799,12.500000
1686646104.002672,13.194445
1686646104.012801,13.194445
1686646104.022675,13.888889
1686646104.032797,13.888889
1686646104.043393,14.583333
1686646104.052685,14.583333
1686646104.063366,14.583333
1686646104.072736,15.277778
1686646104.082827,15.277778
1686646104.093951,15.277778
1686646104.102714,15.972222
1686646104.112815,15.972222
1686646104.122692,15.972222
1686646104.133057,16.666666
1686646104.143861,17.361111
1686646104.152831,17.361111
1686646104.163463,17.361111
1686646104.172722,18.055555
1686646104.183436,18.055555
1686646104.192855,18.750000
1686646104.202695,18.750000
1686646104.213002,19.444445
1686646104.222688,20.138889
1686646104.233079,20.138889
1686646104.242714,20.138889
1686646104.242818,20.138889
1686646104.252811,20.833334
1686646104.262579,20.833334
1686646104.272684,21.527779
1686646104.282784,21.527779
1686646104.292956,22.222221
1686646104.302706,22.222221
1686646104.312837,22.916666
1686646104.322565,23.611111
1686646104.332704,23.611111
1686646104.342698,22.916666
1686646104.352815,22.222221
1686646104.363582,21.527779
1686646104.372690,20.833334
1686646104.382705,20.138889
1686646104.392856,19.444445
1686646104.402697,18.750000
1686646104.412831,18.055555
1686646104.422709,17.361111
1686646104.432850,16.666666
1686646104.442697,16.666666
1686646104.452844,15.972222
1686646104.462689,15.972222
1686646104.472752,15.972222
1686646104.473970,15.972222
1686646104.483151,16.666666
1686646104.493306,16.666666
1686646104.502726,17.361111
1686646104.513029,17.361111
1686646104.522703,17.361111
1686646104.532823,18.055555
1686646104.542713,18.750000
1686646104.553207,18.750000
1686646104.562642,18.750000
1686646104.572835,19.444445
1686646104.582743,20.138889
1686646104.592862,20.138889
1686646104.602895,20.138889
1686646104.613199,20.833334
1686646104.623066,21.527779
1686646104.633212,21.527779
1686646104.643154,22.222221
1686646104.653279,22.916666
1686646104.663354,22.916666
1686646104.672762,23.611111
1686646104.683388,23.611111
1686646104.692671,24.305555
1686646104.702541,24.305555
1686646104.712732,25.000000
1686646104.723569,25.694445
1686646104.732848,26.388889
1686646104.742719,26.388889
1686646104.752987,26.388889
1686646104.762888,27.083334
1686646104.773024,27.083334
1686646104.783062,27.777779
1686646104.793137,27.777779
1686646104.803093,27.777779
1686646104.813233,28.472221
1686646104.823503,28.472221
1686646104.832882,28.472221
1686646104.843372,29.166666
1686646104.852727,29.861111
1686646104.863433,29.861111
1686646104.872635,29.861111
1686646104.882815,29.861111
1686646104.892975,29.166666
1686646104.902688,29.166666
1686646104.913194,28.472221
1686646104.922825,27.777779
1686646104.933030,27.777779
1686646104.942906,27.083334
1686646104.953078,26.388889
1686646104.963086,25.694445
1686646104.973226,26.388889
1686646104.983071,25.694445
1686646104.993226,26.388889
1686646105.003063,26.388889
1686646105.013195,26.388889
1686646105.023232,26.388889
1686646105.033222,26.388889
1686646105.043100,27.083334
1686646105.053246,27.083334
1686646105.063141,27.777779
1686646105.073264,28.472221
1686646105.083116,28.472221
1686646105.093250,29.166666
1686646105.103129,29.166666
1686646105.113301,29.861111
1686646105.123139,29.861111
1686646105.133289,29.861111
1686646105.143126,29.861111
1686646105.153266,29.861111
1686646105.163141,29.861111
1686646105.173274,30.555555
1686646105.183173,29.861111
1686646105.193309,29.861111
1686646105.203173,29.861111
1686646105.213268,29.166666
1686646105.223158,29.166666
1686646105.233271,28.472221
1686646105.243235,28.472221
1686646105.253163,27.777779
1686646105.263197,27.083334
1686646105.273333,26.388889
1686646105.283195,26.388889
1686646105.293378,26.388889
1686646105.303186,26.388889
1686646105.313328,27.083334
1686646105.323180,27.083334
1686646105.333323,27.083334
1686646105.344242,27.083334
1686646105.354384,27.777779
1686646105.363213,27.777779
1686646105.374332,27.777779
1686646105.383207,28.472221
1686646105.393378,28.472221
1686646105.403216,29.166666
1686646105.413620,28.472221
1686646105.423206,29.166666
1686646105.433340,29.166666
1686646105.443246,29.861111
1686646105.452739,29.166666
1686646105.463262,29.166666
1686646105.473247,28.472221
1686646105.483251,28.472221
1686646105.493375,27.777779
1686646105.503255,27.083334
1686646105.513263,26.388889
1686646105.523249,26.388889
1686646105.523249,26.388889
1686646105.532705,26.388889
1686646105.543245,25.694445
1686646105.552597,25.000000
1686646105.563321,24.305555
1686646105.573249,22.916666
1686646105.583260,22.916666
1686646105.592692,21.527779
1686646105.603265,20.833334
1686646105.612744,20.833334
1686646105.623292,20.833334
1686646105.632651,20.833334
1686646105.643293,20.833334
1686646105.652641,20.138889
1686646105.663423,19.444445
1686646105.673313,19.444445
1686646105.683305,18.750000
1686646105.692697,18.055555
1686646105.703296,17.361111
1686646105.712698,16.666666
1686646105.723320,15.972222
1686646105.733333,15.277778
1686646105.743334,14.583333
1686646105.752627,14.583333
1686646105.763356,13.888889
1686646105.773326,13.194445
1686646105.783353,12.500000
1686646105.792682,11.805555
1686646105.803451,11.805555
1686646105.812773,11.111111
1686646105.823565,10.416667
1686646105.832739,10.416667
1686646105.842709,10.416667
1686646105.852901,10.416667
1686646105.862839,10.416667
1686646105.872996,9.722222
1686646105.882825,9.722222
1686646105.892966,9.027778
1686646105.903038,8.333333
1686646105.914185,8.333333
1686646105.923156,7.638889
1686646105.933314,7.638889
1686646105.943395,6.944445
1686646105.952803,6.250000
1686646105.963367,6.250000
1686646105.972660,6.250000
1686646105.983482,5.555555
1686646105.992651,5.555555
1686646106.003615,5.555555
1686646106.012833,5.555555
1686646106.022711,5.555555
1686646106.032853,5.555555
1686646106.043104,5.555555
1686646106.053176,5.555555
1686646106.063022,5.555555
1686646106.073174,5.555555
1686646106.083223,5.555555
1686646106.093462,5.555555
1686646106.103858,4.861111
1686646106.113436,4.861111
1686646106.123460,4.166667
1686646106.133480,4.166667
1686646106.143514,3.472222
1686646106.153537,3.472222
1686646106.163494,4.166667
1686646106.173542,4.166667
1686646106.183553,4.861111
1686646106.193491,4.861111
1686646106.203467,5.555555
1686646106.213483,5.555555
1686646106.223503,5.555555
1686646106.233470,6.250000
1686646106.243493,6.944445
1686646106.253494,7.638889
1686646106.253540,7.638889
1686646106.263473,8.333333
1686646106.273491,9.027778
1686646106.283500,9.027778
1686646106.292624,10.416667
1686646106.303507,10.416667
1686646106.313529,11.111111
1686646106.323509,11.805555
1686646106.333517,12.500000
1686646106.343511,13.194445
1686646106.353537,13.888889
1686646106.363550,15.277778
1686646106.373522,16.666666
1686646106.383550,18.055555
1686646106.393679,18.750000
1686646106.403550,20.833334
1686646106.413571,22.222221
1686646106.423568,23.611111
1686646106.433550,25.000000
1686646106.443571,25.694445
1686646106.453555,26.388889
1686646106.463581,27.083334
1686646106.473629,27.777779
1686646106.483573,27.083334
1686646106.492694,27.083334
1686646106.502554,26.388889
1686646106.513583,26.388889
1686646106.514949,26.388889
1686646106.523573,26.388889
1686646106.532651,25.694445
1686646106.542670,25.694445
1686646106.552961,27.083334
1686646106.563593,27.777779
1686646106.572731,28.472221
1686646106.572746,28.472221
1686646106.582575,29.861111
1686646106.592743,31.250000
1686646106.602616,31.250000
1686646106.613612,31.250000
1686646106.623592,31.250000
1686646106.632643,32.638889
1686646106.643627,32.638889
1686646106.652683,32.638889
1686646106.663636,32.638889
1686646106.672725,32.638889
1686646106.682611,32.638889
1686646106.682625,32.638889
1686646106.692852,32.638889
1686646106.702625,32.638889
1686646106.713634,32.638889
1686646106.722623,32.638889
1686646106.732628,32.638889
1686646106.743660,32.638889
1686646106.752778,32.638889
1686646106.763686,32.638889
1686646106.773672,33.333332
1686646106.782649,32.638889
1686646106.792783,33.333332
1686646106.803688,33.333332
1686646106.813679,34.027779
1686646106.822681,33.333332
1686646106.832649,33.333332
1686646106.843854,33.333332
1686646106.852875,34.027779
1686646106.862690,34.027779
1686646106.872719,34.027779
1686646106.882671,34.027779
1686646106.892829,34.027779
1686646106.903758,34.027779
1686646106.913699,33.333332
1686646106.922687,34.027779
1686646106.932721,34.027779
1686646106.942687,34.027779
1686646106.953986,33.333332
1686646106.963717,33.333332
1686646106.972725,32.638889
1686646106.982768,32.638889
1686646106.992876,32.638889
1686646107.003813,32.638889
1686646107.012779,32.638889
1686646107.022788,33.333332
1686646107.032788,33.333332
1686646107.042813,33.333332
1686646107.053843,34.027779
1686646107.062817,34.027779
1686646107.072815,34.027779
1686646107.082859,34.027779
1686646107.092980,34.027779
1686646107.102821,34.722221
1686646107.112866,34.722221
1686646107.122855,34.722221
1686646107.132819,34.027779
1686646107.142864,34.027779
1686646107.153005,33.333332
1686646107.162843,33.333332
1686646107.172898,33.333332
1686646107.182855,32.638889
1686646107.192851,32.638889
1686646107.202858,32.638889
1686646107.212912,33.333332
1686646107.222874,33.333332
1686646107.232872,33.333332
1686646107.242916,33.333332
1686646107.252857,34.027779
1686646107.262871,34.027779
1686646107.272950,33.333332
1686646107.282893,34.027779
1686646107.293022,34.027779
1686646107.302888,33.333332
1686646107.313045,33.333332
1686646107.322875,32.638889
1686646107.333013,32.638889
1686646107.342880,31.944445
1686646107.353010,31.944445
1686646107.362905,31.944445
1686646107.373056,31.944445
1686646107.382918,31.944445
1686646107.393031,31.944445
1686646107.402873,31.944445
1686646107.413220,32.638889
1686646107.422890,32.638889
1686646107.433225,32.638889
1686646107.442884,32.638889
1686646107.453205,31.944445
1686646107.462882,31.944445
1686646107.473204,31.250000
1686646107.482874,31.250000
1686646107.493024,31.250000
1686646107.502885,31.250000
1686646107.513245,30.555555
1686646107.523098,31.250000
1686646107.533261,31.250000
1686646107.543150,31.944445
1686646107.553305,31.944445
1686646107.563235,31.944445
1686646107.573374,31.944445
1686646107.583496,31.250000
1686646107.593631,31.250000
1686646107.593758,31.250000
1686646107.603518,31.250000
1686646107.613240,30.555555
1686646107.623602,30.555555
1686646107.633237,29.861111
1686646107.643693,29.861111
1686646107.653262,30.555555
1686646107.662852,30.555555
1686646107.673321,31.250000
1686646107.682935,30.555555
1686646107.693060,30.555555
1686646107.703035,30.555555
1686646107.713259,30.555555
1686646107.723177,30.555555
1686646107.733318,30.555555
1686646107.743603,30.555555
1686646107.753368,29.166666
1686646107.763440,29.861111
1686646107.773559,29.861111
1686646107.783543,29.861111
1686646107.793713,29.861111
1686646107.803621,29.861111
1686646107.812778,29.861111
1686646107.822780,29.861111
1686646107.832773,29.861111
1686646107.842905,29.861111
1686646107.852901,29.166666
1686646107.862914,29.166666
1686646107.872923,28.472221
1686646107.882952,28.472221
1686646107.892903,27.777779
1686646107.902922,27.083334
1686646107.913922,26.388889
1686646107.922926,26.388889
1686646107.932908,25.694445
1686646107.942917,25.694445
1686646107.952907,25.000000
1686646107.962919,25.000000
1686646107.972901,25.000000
1686646107.982919,25.000000
1686646107.993030,25.694445
1686646108.002932,24.305555
1686646108.012915,24.305555
1686646108.023947,22.916666
1686646108.032922,22.222221
1686646108.043959,21.527779
1686646108.052935,20.833334
1686646108.063940,20.138889
1686646108.072961,19.444445
1686646108.083970,18.750000
1686646108.094095,18.055555
1686646108.102951,17.361111
1686646108.112942,16.666666
1686646108.122927,15.972222
1686646108.132945,15.277778
1686646108.142940,14.583333
1686646108.152925,14.583333
1686646108.163046,13.194445
1686646108.172944,13.194445
1686646108.182939,12.500000
1686646108.193056,11.805555
1686646108.202958,11.111111
1686646108.212957,11.111111
1686646108.222964,10.416667
1686646108.232973,9.722222
1686646108.242943,9.027778
1686646108.252932,9.027778
1686646108.262941,8.333333
1686646108.272913,8.333333
1686646108.282953,7.638889
1686646108.293068,6.944445
1686646108.302963,6.944445
1686646108.312936,6.250000
1686646108.322965,5.555555
