time_stamp,data_value
1686646102.483765,-21.299999
1686646102.493916,-21.700001
1686646102.503896,-22.100000
1686646102.513734,-22.400000
1686646102.523614,-22.799999
1686646102.533745,-23.000000
1686646102.543611,-23.200001
1686646102.553816,-23.700001
1686646102.563354,-24.299999
1686646102.573677,-24.900000
1686646102.583609,-25.200001
1686646102.593732,-25.799999
1686646102.603593,-26.299999
1686646102.613851,-26.799999
1686646102.623602,-27.500000
1686646102.633743,-28.200001
1686646102.643932,-28.900000
1686646102.653655,-29.500000
1686646102.664097,-30.299999
1686646102.673675,-31.299999
1686646102.683805,-32.200001
1686646102.692928,-33.000000
1686646102.703622,-34.099998
1686646102.713096,-35.200001
1686646102.723622,-36.200001
1686646102.733744,-37.299999
1686646102.743617,-38.400002
1686646102.753091,-39.799999
1686646102.763251,-41.099998
1686646102.773623,-42.200001
1686646102.784150,-43.299999
1686646102.793600,-44.599998
1686646102.803599,-45.599998
1686646102.813751,-46.500000
1686646102.823630,-47.400002
1686646102.833756,-48.000000
1686646102.843633,-48.500000
1686646102.853288,-48.900002
1686646102.863643,-49.099998
1686646102.873764,-49.400002
1686646102.883767,-49.400002
1686646102.893883,-49.400002
1686646102.903810,-49.500000
1686646102.913642,-49.599998
1686646102.923933,-49.799999
1686646102.933633,-50.200001
1686646102.943629,-50.900002
1686646102.954088,-51.099998
1686646102.963643,-51.400002
1686646102.973782,-51.700001
1686646102.983641,-52.000000
1686646102.993781,-52.500000
1686646103.003643,-52.900002
1686646103.014132,-53.200001
1686646103.023693,-53.299999
1686646103.033757,-53.299999
1686646103.043636,-53.500000
1686646103.053811,-53.500000
1686646103.063784,-53.299999
1686646103.073900,-53.299999
1686646103.083776,-53.299999
1686646103.093899,-53.299999
1686646103.104085,-53.299999
1686646103.113187,-53.299999
1686646103.124077,-53.099998
1686646103.133558,-52.900002
1686646103.144094,-52.599998
1686646103.154227,-52.299999
1686646103.163542,-52.099998
1686646103.173676,-51.700001
1686646103.184301,-51.400002
1686646103.193789,-51.000000
1686646103.204096,-50.500000
1686646103.213271,-50.099998
1686646103.224144,-49.700001
1686646103.233575,-49.500000
1686646103.243115,-49.299999
1686646103.253829,-48.799999
1686646103.264142,-48.400002
1686646103.273428,-48.000000
1686646103.283827,-47.900002
1686646103.293984,-47.700001
1686646103.304214,-47.500000
1686646103.313378,-47.299999
1686646103.323291,-47.099998
1686646103.333417,-46.799999
1686646103.343150,-46.700001
1686646103.353472,-46.500000
1686646103.363427,-46.299999
1686646103.373662,-46.000000
1686646103.383660,-45.599998
1686646103.393802,-45.200001
1686646103.403760,-44.599998
1686646103.413780,-44.099998
1686646103.423674,-43.599998
