time_stamp,car_pose_front_axle_x_meters,car_pose_front_axle_y_meters,car_pose_yaw_degrees
1747817572.994258,0.039,0.000,0.237
1747817573.001995,0.065,0.001,0.241
1747817573.005821,0.078,0.002,0.241
1747817573.022143,0.133,0.004,0.244
1747817573.024201,0.140,0.004,0.244
1747817573.042367,0.201,0.006,0.254
1747817573.042367,0.201,0.006,0.254
1747817573.062111,0.267,0.009,0.261
1747817573.062111,0.267,0.009,0.261
1747817573.082000,0.334,0.011,0.266
1747817573.082000,0.334,0.011,0.266
1747817573.101974,0.400,0.014,0.272
1747817573.101974,0.400,0.014,0.272
1747817573.122041,0.467,0.017,0.277
1747817573.133415,0.505,0.018,0.277
1747817573.142179,0.534,0.019,0.282
1747817573.152095,0.567,0.020,0.282
1747817573.162220,0.600,0.022,0.287
1747817573.170729,0.629,0.023,0.287
1747817573.182203,0.667,0.024,0.294
1747817573.189475,0.691,0.025,0.294
1747817573.202318,0.733,0.027,0.296
1747817573.208050,0.752,0.028,0.296
1747817573.222326,0.799,0.029,0.301
1747817573.226846,0.814,0.030,0.301
1747817573.242379,0.865,0.032,0.301
1747817573.246144,0.878,0.033,0.301
1747817573.262456,0.932,0.035,0.303
1747817573.264464,0.938,0.035,0.303
1747817573.283357,1.000,0.037,0.304
1747817573.283357,1.000,0.037,0.304
1747817573.302592,1.063,0.040,0.306
1747817573.302592,1.063,0.040,0.306
1747817573.322700,1.129,0.042,0.305
1747817573.322700,1.129,0.042,0.305
1747817573.343019,1.195,0.045,0.304
1747817573.343019,1.195,0.045,0.304
1747817573.363564,1.262,0.048,0.308
1747817573.363564,1.262,0.048,0.308
1747817573.382375,1.324,0.050,0.311
1747817573.385016,1.332,0.050,0.311
1747817573.403965,1.394,0.053,0.317
1747817573.403965,1.394,0.053,0.317
1747817573.423074,1.456,0.055,0.320
1747817573.423074,1.456,0.055,0.320
1747817573.445041,1.527,0.058,0.326
1747817573.445041,1.527,0.058,0.326
1747817573.462225,1.583,0.060,0.330
1747817573.466012,1.595,0.061,0.330
1747817573.482347,1.648,0.063,0.335
1747817573.488178,1.667,0.064,0.335
1747817573.502372,1.713,0.066,0.338
1747817573.508642,1.733,0.067,0.338
1747817573.521808,1.776,0.069,0.343
1747817573.528629,1.798,0.070,0.343
1747817573.541950,1.841,0.073,0.351
1747817573.551337,1.871,0.074,0.351
1747817573.562282,1.906,0.076,0.363
1747817573.571244,1.935,0.078,0.363
1747817573.582774,1.972,0.080,0.379
1747817573.593088,2.005,0.083,0.379
1747817573.602079,2.034,0.085,0.401
1747817573.612520,2.067,0.087,0.401
1747817573.622512,2.099,0.089,0.423
1747817573.632867,2.132,0.091,0.423
1747817573.642786,2.164,0.093,0.448
1747817573.653078,2.196,0.096,0.448
1747817573.661718,2.223,0.098,0.481
1747817573.673116,2.260,0.100,0.481
1747817573.682155,2.288,0.103,0.517
1747817573.693387,2.324,0.105,0.517
1747817573.702461,2.352,0.108,0.556
1747817573.714129,2.389,0.111,0.556
1747817573.720452,2.409,0.112,0.591
1747817573.733856,2.451,0.116,0.591
1747817573.741125,2.474,0.118,0.631
1747817573.754639,2.516,0.121,0.631
1747817573.760264,2.534,0.123,0.668
1747817573.776437,2.584,0.127,0.668
1747817573.780788,2.598,0.128,0.716
1747817573.796658,2.647,0.133,0.716
1747817573.800128,2.658,0.134,0.756
1747817573.800128,2.658,0.134,0.756
1747817573.820579,2.722,0.139,0.798
1747817573.820579,2.722,0.139,0.798
1747817573.844069,2.794,0.146,0.845
1747817573.844069,2.794,0.146,0.845
1747817573.868003,2.869,0.153,0.889
1747817573.868003,2.869,0.153,0.889
1747817573.887505,2.929,0.159,0.931
1747817573.887505,2.929,0.159,0.931
1747817573.901056,2.971,0.164,0.979
1747817573.910723,3.001,0.167,0.979
1747817573.920479,3.031,0.170,1.023
1747817573.933982,3.073,0.174,1.023
1747817573.940841,3.094,0.176,1.069
1747817573.940841,3.094,0.176,1.069
1747817573.961140,3.156,0.183,1.119
1747817573.961140,3.156,0.183,1.119
1747817573.982669,3.222,0.190,1.166
1747817573.982669,3.222,0.190,1.166
1747817574.004474,3.289,0.197,1.214
1747817574.004474,3.289,0.197,1.214
1747817574.024690,3.351,0.204,1.269
1747817574.024690,3.351,0.204,1.269
1747817574.040735,3.401,0.210,1.326
1747817574.051747,3.434,0.214,1.326
1747817574.061177,3.463,0.217,1.380
1747817574.071124,3.494,0.221,1.380
1747817574.080431,3.522,0.224,1.438
1747817574.092588,3.559,0.229,1.438
1747817574.100825,3.585,0.232,1.498
1747817574.113768,3.624,0.236,1.498
1747817574.121223,3.647,0.239,1.559
1747817574.136401,3.694,0.245,1.559
