time_stamp,data_value
1747817570.295992,16.660156
1747817570.346782,16.582031
1747817570.395992,16.433594
1747817570.447146,16.281250
1747817570.496216,16.097656
1747817570.496529,16.097656
1747817570.496657,16.097656
1747817570.496772,16.097656
1747817570.547650,15.914062
1747817570.596037,15.718750
1747817570.646923,15.597656
1747817570.647119,15.597656
1747817570.696056,15.464844
1747817570.747106,15.375000
1747817570.795696,15.242188
1747817570.795783,15.242188
1747817570.847461,15.167969
1747817570.848478,15.167969
1747817570.896484,15.074219
1747817570.896866,15.074219
1747817570.946809,14.949219
1747817570.996378,14.820312
1747817571.046917,14.734375
1747817571.047028,14.734375
1747817571.096446,14.648438
1747817571.096938,14.648438
1747817571.147710,14.527344
1747817571.148055,14.527344
1747817571.195771,14.382812
1747817571.246636,14.210938
1747817571.296433,14.082031
1747817571.348690,13.976562
1747817571.349702,13.976562
1747817571.395731,13.886719
1747817571.449040,13.804688
1747817571.495936,13.765625
1747817571.547837,13.753906
1747817571.596381,13.757812
1747817571.647807,13.738281
1747817571.648006,13.738281
1747817571.696702,13.714844
1747817571.696883,13.714844
1747817571.748563,13.652344
1747817571.748672,13.652344
1747817571.795791,13.539062
1747817571.796176,13.539062
1747817571.796226,13.539062
1747817571.796398,13.539062
1747817571.846785,13.464844
1747817571.896193,13.421875
1747817571.896327,13.421875
1747817571.948034,13.359375
1747817571.996754,13.308594
1747817571.997804,13.308594
1747817572.046932,13.257812
1747817572.046997,13.257812
1747817572.096509,13.214844
1747817572.147691,13.152344
1747817572.148324,13.152344
1747817572.195829,13.070312
1747817572.196334,13.070312
1747817572.248184,13.003906
1747817572.248928,13.003906
1747817572.296154,12.960938
1747817572.346980,12.882812
1747817572.347587,12.882812
1747817572.396462,12.828125
1747817572.446933,12.785156
1747817572.448218,12.785156
1747817572.495682,12.726562
1747817572.547282,12.683594
1747817572.547385,12.683594
1747817572.547478,12.683594
1747817572.595791,12.636719
1747817572.646910,12.562500
1747817572.647061,12.562500
1747817572.647613,12.562500
1747817572.695820,12.503906
1747817572.696134,12.503906
1747817572.696419,12.503906
1747817572.748316,12.445312
1747817572.748391,12.445312
1747817572.748531,12.445312
1747817572.749525,12.445312
1747817572.796133,12.375000
1747817572.796712,12.375000
